r0		0x00000005
r1		0x00000009
r2		0x00000000
r3		0x00000004
r4		0x00000000
r5		0x00000000
r6		0x00000000
r7		0x00000009
r8		0x00000000
r9		0x00009999
rA		0x00000000
rB		0x00000000
rC		0x00000000
rD		0x00000000
rE		0x00000000
rF		0x00000000
r10		0x00002235
r11		0x00000000
r12		0x00000000
r13		0x00000000
r14		0x00000000
r15		0x00000000
r16		0x00000000
r17		0x00000000
r18		0x00000000
r19		0x00000000
r1A		0x00000000
r1B		0x00000000
r1C		0x00000000
r1D		0x00000000
r1E		0x00000000
r1F		0x00000000
r20		0x00000000
r21		0x00000000
r22		0x00000000
r23		0x00000000
r24		0x00000000
r25		0x00000000
r26		0x00000000
r27		0x00000000
r28		0x00000000
r29		0x00000000
r2A		0x00000000
r2B		0x00000000
r2C		0x00000000
r2D		0x00000000
r2E		0x00000000
r2F		0x00000000
r30		0x00000000
r31		0x00000000
r32		0x00000000
r33		0x00000000
r34		0x00000000
r35		0x00000000
r36		0x00000000
r37		0x00000000
r38		0x00000000
r39		0x00000000
r3A		0x00000000
r3B		0x00000000
r3C		0x00000000
r3D		0x00000000
r3E		0x00000000
r3F		0x00000000
r40		0x00000000
r41		0x00000000
r42		0x00000000
r43		0x00000000
r44		0x00000000
r45		0x00000000
r46		0x00000000
r47		0x00000000
r48		0x00000000
r49		0x00000000
r4A		0x00000000
r4B		0x00000000
r4C		0x00000000
r4D		0x00000000
r4E		0x00000000
r4F		0x00000000
r50		0x00000000
r51		0x00000000
r52		0x00000000
r53		0x00000000
r54		0x00000000
r55		0x00000000
r56		0x00000000
r57		0x00000000
r58		0x00000000
r59		0x00000000
r5A		0x00000000
r5B		0x00000000
r5C		0x00000000
r5D		0x00000000
r5E		0x00000000
r5F		0x00000000
r60		0x00000000
r61		0x00000000
r62		0x00000000
r63		0x00000000
r64		0x00000000
r65		0x00000000
r66		0x00000000
r67		0x00000000
r68		0x00000000
r69		0x00000000
r6A		0x00000000
r6B		0x00000000
r6C		0x00000000
r6D		0x00000000
r6E		0x00000000
r6F		0x00000000
r70		0x00000000
r71		0x00000000
r72		0x00000000
r73		0x00000000
r74		0x00000000
r75		0x00000000
r76		0x00000000
r77		0x00000000
r78		0x00000000
r79		0x00000000
r7A		0x00000000
r7B		0x00000000
r7C		0x00000000
r7D		0x00000000
r7E		0x00000000
r7F		0x00000000
r80		0x00000000
r81		0x00000000
r82		0x00000000
r83		0x00000000
r84		0x00000000
r85		0x00000000
r86		0x00000000
r87		0x00000000
r88		0x00000000
r89		0x00000000
r8A		0x00000000
r8B		0x00000000
r8C		0x00000000
r8D		0x00000000
r8E		0x00000000
r8F		0x00000000
r90		0x00000000
r91		0x00000000
r92		0x00000000
r93		0x00000000
r94		0x00000000
r95		0x00000000
r96		0x00000000
r97		0x00000000
r98		0x00000000
r99		0x00000000
r9A		0x00000000
r9B		0x00000000
r9C		0x00000000
r9D		0x00000000
r9E		0x00000000
r9F		0x00000000
rA0		0x00000000
rA1		0x00000000
rA2		0x00000000
rA3		0x00000000
rA4		0x00000000
rA5		0x00000000
rA6		0x00000000
rA7		0x00000000
rA8		0x00000000
rA9		0x00000000
rAA		0x00000000
rAB		0x00000000
rAC		0x00000000
rAD		0x00000000
rAE		0x00000000
rAF		0x00000000
rB0		0x00000000
rB1		0x00000000
rB2		0x00000000
rB3		0x00000000
rB4		0x00000000
rB5		0x00000000
rB6		0x00000000
rB7		0x00000000
rB8		0x00000000
rB9		0x00000000
rBA		0x00000000
rBB		0x00000000
rBC		0x00000000
rBD		0x00000000
rBE		0x00000000
rBF		0x00000000
rC0		0x00000000
rC1		0x00000000
rC2		0x00000000
rC3		0x00000000
rC4		0x00000000
rC5		0x00000000
rC6		0x00000000
rC7		0x00000000
rC8		0x00000000
rC9		0x00000000
rCA		0x00000000
rCB		0x00000000
rCC		0x00000000
rCD		0x00000000
rCE		0x00000000
rCF		0x00000000
rD0		0x00000000
rD1		0x00000000
rD2		0x00000000
rD3		0x00000000
rD4		0x00000000
rD5		0x00000000
rD6		0x00000000
rD7		0x00000000
rD8		0x00000000
rD9		0x00000000
rDA		0x00000000
rDB		0x00000000
rDC		0x00000000
rDD		0x00000000
rDE		0x00000000
rDF		0x00000000
rE0		0x00000000
rE1		0x00000000
rE2		0x00000000
rE3		0x00000000
rE4		0x00000000
rE5		0x00000000
rE6		0x00000000
rE7		0x00000000
rE8		0x00000000
rE9		0x00000000
rEA		0x00000000
rEB		0x00000000
rEC		0x00000000
rED		0x00000000
rEE		0x00000000
rEF		0x00000000
rF0		0x00000000
rF1		0x00000000
rF2		0x00000000
rF3		0x00000000
rF4		0x00000000
rF5		0x00000000
rF6		0x00000000
rF7		0x00000000
rF8		0x00000000
rF9		0x00000000
rFA		0x00000000
rFB		0x00000000
rFC		0x00000000
rFD		0x00000000
rFE		0x00000000
rFF		0x00000000
SP	 0x00001F00
ZFlag	 0
CFlag	 0
PC	0x00000014
